Título,Precio,Categoría,Fecha de lanzamiento,Descripción
The Skylia Prophecy,"6,99 €*","• Acción, Arcade, Aventura, Plataformas",23-04-2021,Mejora a Mirenia con un sistema de niveles y magia Más de una docena de diferentes zonas Hermoso pixel-art
Happy Hoarder,"1,99 €*","• Arcade, Puzle",23-04-2021,¡Atesora todos los artículos!
War of stealth - assassin,"8,36 €*","• Acción, Aventura, Disparos (Shooter), Otros",22-04-2021,Sci-fi stealth action with zombies and shooting
MotoGP™21,"24,99 €2,49 €*","• Carreras, Deportes, Simulación",22-04-2021,Colócate en la parrilla de salida y prepárate para el videojuego más realista e inmersivo hasta la fecha de MotoGP™.
Bamerang,"6,49 €*","• Acción, Fiesta, Lucha",22-04-2021,"Un vertiginoso videojuego de combate con búmeranes para dos a cuatro jugadores. Lucha por el favor de la diosa en un extraño y colorido mundo, en este juego multijugador local."
Road Fury,"7,99 €*","• Acción, Arcade, Disparos (Shooter)",22-04-2021,¡Da rienda suelta a tu furia en la carretera y derriba todo lo que se mueva!
Smelter,"16,79 €*","• Acción, Aventura, Estrategia, Plataformas",22-04-2021,Es hora de la re’EVAncha
Skyland Rush - Air Raid Attack,"5,99 €*","• Acción, Arcade, Disparos (Shooter), Otros",22-04-2021,"Apunta, Dispara y... ¡Vuelve a disparar! ¡Frenetismo en estado puro!"
Infinite Adventures®,"12,99 €*","• Estrategia, Rol (RPG)",22-04-2021,Enter the Infinite Labyrinth
Touhou Hyouibana　～ Antinomy of Common Flowers.,"29,99 €*","• Acción, Lucha",22-04-2021,¡Crea el dúo más fuerte y lucha en este emocionante e implacable juego versus de acción!
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Turnip Boy Commits Tax Evasion,"14,99 €*","• Acción, Aventura, Puzle, Rol (RPG)",22-04-2021,"Juega como un nabo adorable pero alborotador. ¡Evita pagar los impuestos, resuelve acertijos y pelea contra bestias enormes para derrocar al corrupto gobierno vegetal!"
Sakura Succubus,"9,99 €4,99 €*",• Aventura,22-04-2021,¡No hay escasez de mujeres a las que cortejar!
Asdivine Cross,"14,99 €*","• Aventura, Estrategia, Rol (RPG), Simulación",22-04-2021,¡Unete al destino de la luz y las tinieblas y salva Asdivine!
BraveMatch,"4,99 €*","• Arcade, Puzle, Rol (RPG), Tablero",22-04-2021,BraveMatch es un juego de rol inspirado en la combinación de fichas con mucha diversión.
WORLD END ECONOMiCA ~complete~,"24,99 €*",• Aventura,22-04-2021,"From the author of Spice and Wolf, Isuna Hasekura, comes WORLD END ECONOMiCA!"
Devil Slayer Raksasi,"14,99 €*","• Acción, Aventura",22-04-2021,Fight your way out of this cursed world!
Mystic Fate,"9,99 €*","• Acción, Aventura, Puzle",22-04-2021,Un juego de acción y aventura voxel 3D
PICROSS S6,"9,99 €*","• Educativo, Estrategia, Puzle",22-04-2021,"¡Ya está aquí la 6.ª entrega de la serie Picross S, el clásico juego de puzles con el que jugar y relajarse!"
Atelier Firis: The Alchemist and the Mysterious Journey DX,"39,99 €*",• Rol (RPG),22-04-2021,"La serie Mysterious combina conmovedores elementos de la vida diaria con experiencias extraordinarias en un mundo lleno de maravillas. ¡La segunda entrega, ""Atelier Firis"", vuelve en formato DX!"
Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings DX,"39,99 €*",• Rol (RPG),22-04-2021,"La serie Mysterious combina conmovedores elementos de la vida diaria con experiencias extraordinarias en un mundo lleno de maravillas. ¡La tercera entrega, ""Atelier Lydie & Suelle"", vuelve en formato DX!"
Atelier Mysterious Trilogy Deluxe Pack,"89,99 €*",• Rol (RPG),22-04-2021,¡La edición definitiva de los juegos de la trilogía Mysterious con nuevo contenido y gran parte del contenido descargable publicado anteriormente!
Atelier Sophie: The Alchemist of the Mysterious Book DX,"39,99 €*",• Rol (RPG),22-04-2021,"La serie Mysterious combina conmovedores elementos de la vida diaria con experiencias extraordinarias en un mundo lleno de maravillas. ¡La primera entrega, ""Atelier Sophie"", vuelve en formato DX!"
The Seven Chambers,"9,99 €*","• Aventura, Puzle",22-04-2021,Young girl Elasaid falls into a coma and experiences a past life as a Highland Warrior. Her only escape is to navigate her way to the Seventh Chamber and fight the fallen angel.
Effie,"19,99 €*","• Acción, Aventura",22-04-2021,"Experimenta esta única y fantástica aventura, libera a las ciudades de un poderoso y oscuro mal y siente la atmósfera de los videojuegos clásicos."
Shantae,"8,29 €4,14 €*","• Acción, Aventura, Plataformas",22-04-2021,"¡Regresa la aventura original de Shantae! Lanzado originalmente en el año 2002, Shantae es un clásico juego de plataformas, acción y aventura que nos presentó a una encantadora heroína medio genia."
House Cleaning Survival,"19,99 €*","• Aventura, Otros, Simulación",22-04-2021,One hose to clean them all!
ASOBU Tights,"17,89 €*",• Puzle,22-04-2021,"The web anime ""Miru Tights"" is now a puzzle game! Collect points and enjoy the beautiful illustrations and animation!"
Arcade Archives TYPHOON,"6,99 €*","• Arcade, Disparos (Shooter)",22-04-2021,"Mankind has launched its final counterattack. A-JAX, attack!"
Buildings Have Feelings Too!,"19,99 €3,99 €*","• Estrategia, Otros, Puzle, Simulación",22-04-2021,Imagina una cuidad en la que los edificios pueden hablar y comunicarse entre ellos.
Palindrome Syndrome: Escape Room,"9,99 €*","• Aventura, Puzle",21-04-2021,Despiertas en una nave espacial sin ningún recuerdo. En este escape room con ambientación de ciencia ficción tendrás que investigar sobre tu pasado y resolver puzzles. ¿Podrás escapar?
World Splitter,"12,99 €*","• Aventura, Puzle",21-04-2021,"World Splitter is a 2D² puzzle platformer, challenging you with multidimensional puzzles."
Later Alligator,"15,99 €*","• Aventura, Puzle",19-04-2021,"Explore Alligator New York City, play dozens of minigames, solve a big mystery, and save a little alligator named Pat!"
Archery Blast,"3,99 €*","• Arcade, Disparos (Shooter), Rol (RPG)",17-04-2021,"Archery Blast ofrece una experiencia de tiro con arco ultrarrealista con impresionantes gráficos en 3D, increíbles animaciones y sencillos controles intuitivos."
Rock 'N Racing Bundle 3 in 1,"24,99 €*","• Arcade, Carreras, Simulación",16-04-2021,"Este pack incluye los juegos: Rock 'N Racing Off Road, Grand Prix Rock 'N Racing y Rally Rock 'N Racing."
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Snowball Collections Bubble,"5,99 €*","• Estrategia, Fiesta, Otros, Puzle",16-04-2021,"Colecciona bolas de nieve con diferentes temarios cada una, desde ‘cuentos populares’ a ‘juguetes retro’ pasando por ‘bosques encantados’."
Poison Control,"39,99 €*","• Acción, Aventura, Disparos (Shooter)",16-04-2021,Purga el veneno y atraviesa el infierno
Heal: Console Edition,"5,99 €*","• Aventura, Puzle",16-04-2021,"Quiero volver a verte, aunque solo sea por última vez…"
Tribal Pass,"5,99 €*","• Acción, Puzle",16-04-2021,"A genre-twisting tactical runner where you maneuver, fight, think, sacrifice and evolve – all ON THE RUN."
Get Ogre It,"11,99 €*","• Acción, Aventura, Estrategia, Puzle",16-04-2021,"¡Un roguelike de mazmorras procedural, escapa, engaña y sobrevive!"
Dwarf Journey,"6,99 €*","• Acción, Aventura, Plataformas, Rol (RPG)",16-04-2021,"¡Derrota enemigos, sube de nivel, ensambla tu build, recolecta minerales y forja el mejor equipamiento en una travesía épica en busca de la inmortalidad!"
Connect It!,"2,99 €*","• Arcade, Plataformas, Puzle",16-04-2021,
Godstrike,"14,99 €1,94 €*","• Acción, Arcade, Disparos (Shooter)",15-04-2021,Godstrike es un boss rush Bullet Hell 3D basado en el tiempo. ¡Enfréntate a todos los Bosses y derrótalos antes de que tu tiempo se agote!
Deiland: Pocket Planet Edition,"19,99 €5,99 €*","• Aventura, Otros, Rol (RPG), Simulación",15-04-2021,"Deiland: Pocket Planet Edition es una aventura agrícola en la que tendrás que cuidar tu diminuto planeta. Cultiva, crea, lucha y explora el universo de Deiland."
Aguafiestas | Rain on Your Parade,"12,99 €7,79 €*","• Acción, Arcade, Aventura, Lucha",15-04-2021,¡Viaja por el mundo con una adorable nube de cartón y águales el día a los demás! Desbloquea nuevas formas de hacer travesuras a lo largo de 50 niveles.
Team Troopers,"15,90 €*","• Acción, Acción en primera persona (FPS), Arcade",15-04-2021,Team Troopers an online multiplayer team-based low poly art first-person shooter! Play epic matches in a great low poly stylized world!
Stitchy in Tooki Trouble,"12,99 €1,29 €*","• Acción, Arcade, Aventura, Plataformas",15-04-2021,"Corra, salta, patina, golpea y deslizate para encontrar tu maíz robado en esta plataforma de deslizamiento lateral!"
Livestream: Escape from Hotel Izanami,"16,79 €*","• Acción, Aventura",15-04-2021,Can three streamers get away from the sudden chase of a mysterious mascot and escape from an abandoned leisure hotel with their lives?
Pocoyo Party,"29,99 €*","• Educativo, Fiesta",15-04-2021,"Su primer videojuego es didáctico, familiar, divertido ... ¡ah! Y MULTIJUGADOR."
Throw it! Animal Park,"3,88 €*","• Acción, Arcade, Fiesta, Otros",15-04-2021,"¡Lancemos al animal solo, lancemos juntos! ¡Invita a todos los animales que puedas al parque y haz un libro de imágenes!"
Relicta,"19,99 €*","• Aventura, Otros, Puzle",15-04-2021,Relicta es un juego de puzles en primera persona basado en física en el que deberás combinar magnetismo y gravedad de manera creativa para revelar los secretos de la base Chandra.
Emily Archer and the Curse of Tutankhamun,"9,99 €*","• Aventura, Puzle",15-04-2021,Help Lady Archer to solve the case behind murder mystery in Egypt.
The Darkside Detective: A Fumble in the Dark,"14,79 €*","• Aventura, Puzle",15-04-2021,Únete McQueen mientras resuelve enigmas en seis escalofriantes casos y se juega su pixelado pellejo para solucionar los macabros misterios que asolan esta ciudad
Hitchhiker - A Mystery Game,"19,99 €*","• Aventura, Otros, Puzle",15-04-2021,"Hitchhiker es un juego de misterio ambientado en carreteras perdidas, en el que tu objetivo es resolver el acertijo de tu propia historia."
Arcade Archives Frisky Tom,"6,99 €*","• Acción, Arcade",15-04-2021,A big adventure between Tom and the mice unfolds over the charming lady!
Exploding Kittens,"8,99 €*","• Fiesta, Tablero",15-04-2021,"Exploding Kittens is a highly-strategic, kitty-powered version of Russian roulette, the most backed game in Kickstarter history, and now on your Nintendo Switch™!"
Myastere -Ruins of Deazniff-,"17,99 €*","• Acción, Aventura, Disparos (Shooter)",15-04-2021,There are still ruins in the world that no one knows about.Eliminate the evil that stirs in the depths through investigative action!
Savage Halloween,"4,99 €2,49 €*","• Acción, Arcade, Aventura, Plataformas",15-04-2021,"In Savage Halloween, the world is taken over by monsters from the afterlife who were trapped in the Earth after a Halloween party."
Dragon Audit,"9,99 €*","• Aventura, Otros, Puzle",15-04-2021,"Un contable de combate acude al castillo para salvar a una princesa, pero acaba rescatando a una dragona solitaria."
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
SaGa Frontier Remastered,"24,99 €12,49 €*",• Rol (RPG),15-04-2021,Tú decides cómo se desarrolla la aventura…
Isolomus,"1,99 €*","• Aventura, Otros, Puzle",14-04-2021,Aventura corta de terror hecha a mano con múltiples opciones...
ReactorX,"4,99 €*","• Arcade, Puzle",14-04-2021,"This is a relaxing game about moving boxes on energy grids in a sci-fi setting, in order to repair the space ship which was hit by a meteor."
The Longing,"14,99 €11,24 €*","• Aventura, Puzle",14-04-2021,"UNA PECULIAR MEZCLA DE JUEGO DE AVENTURA E ""IDLE GAME""."
There Is No Game: Wrong Dimension,"12,99 €*","• Aventura, Puzle",14-04-2021,"«No hay juego», así que no fastidies las cosas haciendo clic por todos lados."
FEZ,"13,99 €*","• Aventura, Otros, Plataformas, Puzle",14-04-2021,"Gómez es una criatura de 2 dimensiones que vive en un mundo de 2 dimensiones, ¿o no?"
Cannon Brawl,"9,99 €*","• Acción, Aventura, Estrategia",14-04-2021,"Pilota un dirigible y controla potentes emplazamientos de armas como cañones, lanzallamas gigantes y láseres de alta potencia. ¡Destruye la tierra bajo los pies de tus enemigos!"
Knight Squad 2,"12,49 €*","• Arcade, Fiesta",14-04-2021,Knight Squad 2 es un caótico juego multijugador arcade para hasta 8 jugadores. Elige un excéntrico caballero y lucha por la gloria con un armamento de locura.
Kingdom of Arcadia,"5,99 €1,49 €*","• Acción, Aventura, Plataformas",14-04-2021,¿Podrá Sam volver a su hogar después de quedar atrapado en el gabinete arcade de su padre?
Park Inc,"2,49 €*",• Puzle,14-04-2021,¡Desaparece tus coches de las plazas de aparcamiento atascadas!
Ravensword: Shadowlands,"6,99 €*","• Aventura, Rol (RPG)",14-04-2021,¡Explora Tyreas para encontrar de nuevo la legendaria espada Ravensword!
ZombieVital DG,"11,80 €*","• Estrategia, Rol (RPG), Simulación",14-04-2021,What kind of dungeon do you make? Do you want to entertain adventurers? Or kill and rob?
Space Marshals,"14,99 €*","• Acción, Aventura",13-04-2021,¡Una aventura del oeste en el espacio exterior!
Hike,"4,99 €*","• Arcade, Aventura, Rol (RPG), Simulación",11-04-2021,You finally get a chance to leave the city behind for the first time in years and head out for a relaxing weekend hike in the middle of nowhere.
Candy Match Kiddies,"3,99 €*","• Arcade, Puzle",10-04-2021,Alinea los caramelos en este entretenido y cautivador juego de parejas de 3.
.cat,"7,99 €*","• Acción, Arcade, Aventura, Otros",10-04-2021,The cat game
Sudoku Master,"2,99 €*",• Puzle,10-04-2021,
Checkers Master,"4,99 €*","• Estrategia, Tablero",10-04-2021,Juego de damas
Gravity Heroes,"14,99 €*","• Acción, Aventura, Disparos (Shooter), Plataformas",09-04-2021,Gravity Heroes es un plataformas de acción 2D caótico y frenético con disparos.
The House in Fata Morgana: Dreams of the Revenants Edition,"34,99 €*",• Otros,09-04-2021,
Luckslinger,"9,99 €*","• Acción, Aventura",09-04-2021,"En Luckslinger, robarás tus estrellas de la suerte - ¡Asegúrate de aprobecharlas!"
Yoko & Yuki: Dr. Rat's Revenge,"4,99 €*","• Acción, Plataformas, Puzle",09-04-2021,
Skyland: Heart of the Mountain,"14,99 €*","• Aventura, Puzle",09-04-2021,¡Los gigantes se despiertan!
Toree 3D,"0,99 €*","• Acción, Arcade, Aventura, Plataformas",09-04-2021,The fastest bird alive!
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
The Legend of Heroes: Trails of Cold Steel IV,"59,99 €*","• Acción, Aventura, Rol (RPG)",09-04-2021,"En un mundo en llamas a causa de la guerra, los héroes deben unirse"
Empire Invasion,"12,99 €*","• Aventura, Estrategia, Puzle, Tablero",09-04-2021,
Say No! More,"14,99 €1,49 €*","• Aventura, Simulación",09-04-2021,Say No! More es el primer JDN del mundo (Juego de decir NO)
Super Fowlst 2,"9,09 €*","• Acción, Arcade, Plataformas",08-04-2021,El mundo ha sido invadido por demonios y solo hay un pollo que puede detenerlos. ¿Cómo? Chocando contra ellos de cabeza. ¿Por qué? No estoy seguro.
Graviter,"7,99 €*","• Aventura, Educativo, Puzle",08-04-2021,Un juego de puzles con físicas del mundo real basado en el control de las fuerzas gravitacionales. ¡Empequeñece o agranda objetos y muévelos para abrirte camino en más de 100 niveles!
Potion Party,"9,99 €*","• Arcade, Fiesta, Puzle",08-04-2021,"Sumérgete en el divertido mundo de Potion Party, donde manejas tu propia tienda de alquimia."
ASTRO AQUA KITTY,"12,99 €*","• Acción, Arcade, Disparos (Shooter), Rol (RPG)",08-04-2021,¡Los gatos de Aqua Kitty se han lanzado a la conquista espacial en esta flamante aventura de disparos y rol repleta de acción! Elige a tu tripulación y despega para investigar unos asteroides misteriosos llenos de agua.
Delicious! Pretty Girls Mahjong Solitaire,"5,99 €*","• Puzle, Tablero",08-04-2021,¡Empareja fichas y revela nuevos atuendos para tus hermosas compañeras!
Pixel Game Maker Series Osyaberi! Horijyo! Holin Slash,"9,99 €*",• Acción,08-04-2021,"""Osyaberi! Horijyo!"" returns as an action side-scroller! Join your favorite chatterbox, Anna Holinski, on her adventures through ruins around the world!"
Legends of Talia: Arcadia,"2,99 €1,49 €*",• Aventura,08-04-2021,La historia épica de una caballera legendaria en busca de redención.
PAC-MAN 99,"A partir de: 0,00 €*",• Arcade,08-04-2021,"Juega a PAC-MAN 99 gratis y en línea, y disfruta de la clásica experiencia de PAC-MAN con un giro a lo battle royale."
ISLAND,"59,99 €*",• Aventura,08-04-2021,The beloved romantic Sci-Fi adventure ISLAND is now available on the Nintendo Switch™!
Sakura In Gameland,"3,49 €*","• Acción, Plataformas",08-04-2021,The evil Wizard of Woe has invaded Gameland
What the Dub?!,"6,99 €*","• Fiesta, Tablero",08-04-2021,What The Dub?! is a multiplayer party game where players overdub missing dialogue from hilariously awful B-movies!
Cozy Grove,"13,99 €*","• Aventura, Estilo de vida, Puzle, Simulación",08-04-2021,"El paisaje te hace venir, pero los amigos hacen que te quedes."
Laid-Back Camp - Virtual - Fumoto Campsite,"20,99 €12,59 €*","• Aventura, Comunicación, Otros",08-04-2021,Laid-Back Camp has gone virtual. Get a taste of the great outdoors from the comfort of your own home!
Maiden & Spell,"12,99 €*","• Arcade, Disparos (Shooter), Lucha",08-04-2021,
War Solution - Casual Math Game,"1,99 €*","• Estrategia, Puzle",08-04-2021,"Come to Harnold's theater, participate in the shows using attack machines to face enemies."
Arcade Archives SABOTEN BOMBERS,"6,99 €*","• Acción, Arcade",08-04-2021,Use bombs to take out multiple enemies for a high score! That's the way we do it!
The Mysterious Case of Dr.Jekyll and Mr.Hyde,"9,99 €*","• Aventura, Puzle",08-04-2021,Discover a horrifying secret!
Always Sometimes Monsters,"7,99 €*","• Aventura, Rol (RPG)",08-04-2021,Embárcate en un viaje a través del país para recuperar el amor de tu vida y tomar decisiones desafiantes que definan la historia y que afecten tu vida y la de quienes te rodean.
Breathedge,"24,99 €*","• Acción, Aventura, Rol (RPG), Simulación",06-04-2021,"¡Sobrevive en el espacio! Fabrica herramientas, maneja distintos vehículos y controla estaciones espaciales para sobrevivir y explorar los restos de la nave."
Lost Lands: The Golden Curse,"13,99 €*","• Aventura, Puzle",06-04-2021,¡Eres la única esperanza para romper la maldición antigua!
STAR WARS™ Republic Commando™,"14,99 €*","• Acción, Aventura",06-04-2021,El escuadrón es tu arma
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Stacks On Stacks (On Stacks),"10,79 €*","• Arcade, Puzle",06-04-2021,Stacks On Stacks (On Stacks) es un alocado juego de construcción de torres en 3D.
Lost Words: Beyond the Page,"14,99 €*","• Acción, Aventura, Plataformas",06-04-2021,"Interactúa con las palabras inscritas en las páginas del diario de una niña para resolver puzles desafiantes, abordar segmentos de plataformas únicos y descubrir un cuento emocional en el vibrante mundo de Estoria en Lost Words: Beyond the Page."
CyberTaxi,"9,99 €*","• Acción, Arcade, Carreras, Simulación",05-04-2021,CyberTaxi is an action-packed driving first-person shooter and taxi simulator set in a grim vision of the future.
Fly The Bird,"2,49 €*","• Arcade, Simulación",03-04-2021,
"Good Night, Knight","11,99 €0,99 €*","• Acción, Aventura, Rol (RPG)",02-04-2021,"Become the one and only - extremely honorable, brave and … a little bit sleepy Knight of the Holy Divers."
SturmFront - The Mutant War: Übel Edition,"9,99 €*","• Arcade, Disparos (Shooter)",02-04-2021,"Maneja a Siegfried von Hammerstein, una unidad experimental de combate con único propósito: ¡aniquilar todas las hordas mutantes que encuentre a su paso!"
Castle Heroes,"2,99 €*","• Arcade, Estrategia, Rol (RPG), Tablero",02-04-2021,
Brick Bat Crazy,"3,29 €*","• Acción, Arcade, Fiesta",02-04-2021,"Juega en el modo de 1 o 2 jugadores en diez temas únicos y destruye todos los ladrillos para progresar. Recoge potenciadores y úsalos para ayudarte (o en el modo de 2 jugadores, para obstaculizar a tu oponente)."
Grandmaster Sudoku,"4,99 €*","• Aventura, Estrategia, Puzle, Tablero",02-04-2021,"¡Ayuda a Dakota Jane a resolver algunos acertijos! Los rompecabezas de Sudoku vienen en 4 niveles de dificultad: ¡Sudoku fácil, medio, difícil y experto! ¡Perfecto para principiantes y jugadores avanzados de Sudoku!"
Street Racing: Tokyo Rush,"11,99 €4,79 €*","• Acción, Carreras, Deportes, Simulación",02-04-2021,"Tear up the streets of Tokyo, take on the baddest Racers, and become the Tokyo underground Street-Racing King! Amazing open city street racing simulator!"
Acalesia,"4,99 €*","• Acción, Plataformas",01-04-2021,
Train Station Simulator,"19,99 €*","• Arcade, Estrategia, Simulación, Tablero",01-04-2021,Train Station Simulator is a station builder and manager game. Create and maintain your dream station! Ride the rails and operate your ultimate grand central empire!
La granja de Abbie para niños,"9,99 €*","• Aventura, Educativo, Otros, Puzle",01-04-2021,Los niños pueden vivir un increíble día en la granja con este juego.
Moorhuhn Kart 2,"19,99 €7,99 €*","• Carreras, Deportes, Fiesta, Simulación",01-04-2021,"Moorhuhn Kart 2 Remaster - Elige tu conductor favorito de la familia Moorhuhn. ¡Te esperan 8 pistas, 10 armas y potenciadores, carreras offline/online, campeonatos y ..."
Gordian Rooms: A curious heritage,"9,99 €*","• Aventura, Puzle",01-04-2021,"Gordian Rooms: A Curious Heritage is a Victorian escape game, where you solve various puzzles in your late uncle’s mansion in the hope of obtaining his legacy."
Arcade Archives HAUNTED CASTLE,"6,99 €*","• Acción, Arcade",01-04-2021,Again the legend will shed blood.
Pixel Game Maker Series DRAGON PEAK,"8,19 €*","• Acción, Arcade, Rol (RPG)",01-04-2021,"This is a ""belt-scrolling"" x ""free exploration"" Multiplayer action game."
Stick Fight: The Game,"6,00 €*","• Disparos (Shooter), Fiesta, Lucha",01-04-2021,Stick Fight es un juego multijugador de lucha basado en físicas en el que pelearás como los míticos monigotes de palitos de la era dorada de internet.
Dungeon and Puzzles,"8,09 €*","• Aventura, Puzle, Rol (RPG), Tablero",01-04-2021,"""Dungeon adventure by using your brain!"" Dungeon + Puzzle + Sokoban"
A Long Way Down,"14,99 €1,49 €*","• Estrategia, Rol (RPG)",01-04-2021,"Reúne a tu equipo y usa tus cartas para sobrevivir, luchar y abrirte paso a través de un laberinto lleno de monstruos que siguen las órdenes de una malvada mente maestra."
What Comes After,"6,99 €*","• Aventura, Comunicación, Educativo, Estilo de vida",01-04-2021,What Comes After es una aventura conversacional y una historia conmovedora sobre el aprendizaje de cómo amarse a sí mismo. Ayude a Vivi en su viaje en el tren hacia el más allá y de regreso.
Thief's Shelter,Precio no disponible,"• Acción, Aventura, Puzle",Fecha no disponible,3D Point & Click hybrid storytelling game
TY el Tigre de Tasmania™ 2: Rescate Agreste™ HD,"27,99 €*","• Acción, Aventura, Plataformas",31-03-2021,"Más búmerans, más vehículos, más mechas, más de TODO... en una aventura australiana de mundo abierto. ¡Incluso podría haber algunas sorpresas!"
Golf Royale,"1,99 €*","• Arcade, Puzle",31-03-2021,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Escape from Life Inc,"9,99 €*","• Arcade, Aventura, Otros, Plataformas",31-03-2021,No tenías piernas... ¡así que te dimos algunas!
Squad Killer,"4,99 €*","• Acción, Arcade, Plataformas",31-03-2021,¡Destruye enemigos en desafíos crecientes con gráficos retro de dos tonalidades!
Afterpulse,"19,99 €*","• Acción, Acción en primera persona (FPS), Disparos (Shooter)",30-03-2021,Un pulso electromagnético ha cambiado todo. El equilibrio de poder es inestable. Los líderes mundiales están desplegando escuadrones de élite. Es hora de elegir: ¡Restaurar la paz o empezar la mayor guerra de todos los tiempos!
RetroMania Wrestling,"24,69 €*","• Acción, Arcade, Deportes, Lucha",30-03-2021,RetroMania is a fast paced pick up and play 2d arcade wrestling game.
Press “A” to Party,"6,99 €*","• Arcade, Carreras, Fiesta, Plataformas",30-03-2021,
Narita Boy,"24,99 €*","• Acción, Aventura, Plataformas, Rol (RPG)",30-03-2021,"Vuelve a los 80. The Creator, un genio de su tiempo, ha creado una videoconsola con el nombre de Narita One. El título estrella es un juego llamado Narita Boy."
Balloon Girl,"7,99 €*","• Arcade, Aventura, Plataformas",30-03-2021,
I Saw Black Clouds,"12,99 €*","• Aventura, Otros",30-03-2021,"I Saw Black Clouds es un thriller psicológico interactivo con elementos sobrenaturales e intrigantes subtramas. Tras el suicidio de su amiga, Kristina regresa a su pueblo natal en busca de respuestas."
THE GAME OF LIFE 2,"A partir de: 29,99 €*","• Fiesta, Simulación, Tablero",29-03-2021,"The Game of Life 2 te ofrece una animada noche de juegos en 3D. Haz girar la ruleta y descubre nuevas decisiones, encrucijadas y formas de ganar. ¡La decisión es tuya!"
Gallic Wars: Battle Simulator,"4,99 €*","• Acción, Arcade, Estrategia, Simulación",28-03-2021,Time to conquer ROME! Become a commander of Gallic Warriors and destroy Roman Empire!
STORY OF SEASONS: Pioneers of Olive Town,"39,99 €*","• Estilo de vida, Rol (RPG), Simulación",26-03-2021,Haz las maletas y deja atrás el jaleo de la ciudad para disfrutar la vida rural en Villa Oliva.
MONSTER HUNTER RISE,"A partir de: 39,99 €*","• Acción, Aventura, Rol (RPG)",26-03-2021,¡Sal de caza cuando y donde quieras con MONSTER HUNTER RISE para Nintendo Switch!
Rompecabezas Educativo de Animales para Niños Pequeños y Niños,"8,99 €*","• Educativo, Puzle",26-03-2021,¡Juego de rompecabezas de animales con más de 80 adorables animales! ¡Aprendizaje lúdico de nombres de animales gracias a la salida de voz en muchos idiomas diferentes!
One Escape,"4,99 €*","• Acción, Plataformas, Puzle",26-03-2021,Tres amigos. Una fuga.
Mermaid Castle,"4,99 €*","• Arcade, Aventura, Plataformas",26-03-2021,¡Sumérgete en una aventura fantástica de cuentos de hadas!
Die With Glory,"6,99 €*","• Aventura, Puzle",26-03-2021,
Genesis Noir,"14,99 €4,49 €*",• Aventura,26-03-2021,Una aventura noir a través del tiempo y el espacio.
Doodle Games Bundle,"22,49 €*","• Estrategia, Puzle, Simulación, Tablero",26-03-2021,2 juegos en 1: Doodle God + Doodle Mafia! ¡Da rienda suelta a tu imaginación y sé un gángster o un policía o DIOS!
Kaze and the Wild Masks,"19,99 €*","• Acción, Arcade, Aventura, Plataformas",26-03-2021,Acompaña a Kaze en este juego de plataformas inspirado en los clásicos de los 90
Power Racing Bundle 2,"16,99 €*","• Arcade, Carreras, Simulación",26-03-2021,Este pack incluye los juegos: Speed Truck Racing y WildTrax Racing.
BALAN WONDERWORLD,"39,99 €5,99 €*",• Acción,26-03-2021,Cada momento es una aventura.
Get-A-Grip Chip,"8,20 €*","• Acción, Arcade, Aventura, Plataformas",25-03-2021,Gear up for grappling action with Get-A-Grip Chip!
Paperball Deluxe,"9,99 €*","• Arcade, Carreras, Plataformas",25-03-2021,It's time to get rolling - now on Nintendo Switch™!
Kosmokrats,"11,39 €*","• Aventura, Puzle",25-03-2021,Kosmokrats es el juego de rompecabezas y aventuras en gravedad cero del pueblo.
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Tinker Racers,"2,49 €*","• Carreras, Fiesta",25-03-2021,"Tinker Racers is not about reaching the finishing line at all. In this Survival Racing Party Game, the challenge is to stay in sight on chaotic miniature tracks."
MazM: The Phantom of the Opera,"12,49 €*","• Aventura, Puzle, Rol (RPG), Simulación",25-03-2021,Una emocionante historia de amor se desarrolla en un majestuoso teatro de ópera parisino.
